date,side,code,name,price,shares,gross_amount,fee,pnl,pnl_pct,hold_days,reason
2025-09-01,BUY,sh512010,医药ETF,0.446,434900,193965.4,48.49,0.0,0.0,0,score=+0.68 rank=1
2025-09-02,BUY,sh515980,华夏中证5G通信ETF,1.673,93400,156258.2,39.06,0.0,0.0,0,score=+0.61 rank=2
2025-09-02,BUY,sh516510,智能汽车ETF,1.612,96900,156202.8,39.05,0.0,0.0,0,score=+0.60 rank=3
2025-09-02,BUY,sh512480,国泰CES半导体芯片ETF,1.355,115300,156231.5,39.06,0.0,0.0,0,score=+0.58 rank=4
2025-09-02,BUY,sh510500,中证500ETF,7.055,22100,155915.5,38.98,0.0,0.0,0,score=+0.51 rank=5
2025-09-04,SELL,sh515980,华夏中证5G通信ETF,1.518,93400,141781.2,177.23,-14693.29,-9.4,2,止损-8%
2025-09-04,SELL,sh512480,国泰CES半导体芯片ETF,1.234,115300,142280.2,177.85,-14168.21,-9.07,2,止损-8%
2025-09-05,BUY,sh515980,华夏中证5G通信ETF,1.608,56000,90048.0,22.51,0.0,0.0,0,score=+0.53 rank=3
2025-09-08,SELL,sh516510,智能汽车ETF,1.536,96900,148838.4,186.05,-7589.5,-4.86,4,排名跌出 TopN
2025-09-08,SELL,sh515980,华夏中证5G通信ETF,1.568,56000,87808.0,109.76,-2372.27,-2.63,1,排名跌出 TopN
2025-09-08,BUY,sz159865,光伏ETF,0.662,179100,118564.2,29.64,0.0,0.0,0,score=+0.53 rank=2
2025-09-10,SELL,sh510500,中证500ETF,7.003,22100,154766.3,193.46,-1381.64,-0.89,6,排名跌出 TopN
2025-09-11,BUY,sh510500,中证500ETF,7.224,17300,124975.2,31.24,0.0,0.0,0,score=+0.88 rank=1
2025-09-11,BUY,sz159928,消费ETF,0.89,141000,125490.0,31.37,0.0,0.0,0,score=+0.69 rank=3
2025-09-11,BUY,sh512480,国泰CES半导体芯片ETF,1.341,93600,125517.6,31.38,0.0,0.0,0,score=+0.60 rank=4
2025-09-24,SELL,sh512480,国泰CES半导体芯片ETF,1.543,93600,144424.8,180.53,18695.29,14.89,9,止盈+15%
2025-09-24,SELL,sh512010,医药ETF,0.435,434900,189181.5,236.48,-5068.87,-2.61,17,排名跌出 TopN
2025-09-24,SELL,sz159865,光伏ETF,0.655,179100,117310.5,146.64,-1429.98,-1.21,12,排名跌出 TopN
2025-09-24,SELL,sz159928,消费ETF,0.847,141000,119427.0,149.28,-6243.66,-4.97,9,排名跌出 TopN
2025-09-24,BUY,sh512480,国泰CES半导体芯片ETF,1.543,105700,163095.1,40.77,0.0,0.0,0,score=+0.68 rank=1
2025-09-24,BUY,sh515980,华夏中证5G通信ETF,1.804,90400,163081.6,40.77,0.0,0.0,0,score=+0.66 rank=2
2025-09-24,BUY,sh600460,士兰微,31.46,5100,160446.0,40.11,0.0,0.0,0,score=+0.54 rank=4
2025-09-24,BUY,sh516510,智能汽车ETF,1.672,97500,163020.0,40.76,0.0,0.0,0,score=+0.52 rank=5
2025-09-30,SELL,sh515980,华夏中证5G通信ETF,0.91,90400,82264.0,102.83,-80961.2,-49.63,4,止损-8%
2025-10-14,SELL,sh516510,智能汽车ETF,1.542,97500,150345.0,187.93,-12903.69,-7.91,8,排名跌出 TopN
2025-10-20,SELL,sh510500,中证500ETF,7.16,17300,123868.0,154.84,-1293.28,-1.03,21,满期21日
2025-10-23,SELL,sh600460,士兰微,30.25,5100,154275.0,192.84,-6403.96,-3.99,15,排名跌出 TopN
2025-10-29,BUY,sh601318,中国平安,58.95,2300,135585.0,33.9,0.0,0.0,0,score=+0.60 rank=1
2025-10-31,SELL,sh512480,国泰CES半导体芯片ETF,1.465,105700,154850.5,193.56,-8478.94,-5.2,21,满期21日
2025-11-27,SELL,sh601318,中国平安,59.34,2300,136482.0,170.6,692.5,0.51,21,满期21日
2025-12-05,BUY,sh601318,中国平安,61.99,2600,161174.0,40.29,0.0,0.0,0,score=+0.60 rank=1
2025-12-08,BUY,sh516510,智能汽车ETF,1.651,81600,134721.6,33.68,0.0,0.0,0,score=+0.51 rank=2
2025-12-24,BUY,sh510500,中证500ETF,7.47,14500,108315.0,27.08,0.0,0.0,0,score=+0.51 rank=2
2026-01-05,SELL,sh601318,中国平安,72.36,2600,188136.0,235.17,26686.54,16.55,19,止盈+15%
2026-01-05,BUY,sh601318,中国平安,72.36,1700,123012.0,30.75,0.0,0.0,0,score=+0.86 rank=1
2026-01-05,BUY,sh515980,华夏中证5G通信ETF,0.9,137900,124110.0,31.03,0.0,0.0,0,score=+0.63 rank=3
2026-01-05,BUY,sh512480,国泰CES半导体芯片ETF,1.53,81100,124083.0,31.02,0.0,0.0,0,score=+0.59 rank=4
2026-01-08,SELL,sh516510,智能汽车ETF,1.771,81600,144513.6,180.64,9577.68,7.11,21,满期21日
2026-01-08,BUY,sh516510,智能汽车ETF,1.771,45200,80049.2,20.01,0.0,0.0,0,score=+0.66 rank=1
2026-01-14,SELL,sh516510,智能汽车ETF,2.038,45200,92117.6,115.15,11933.24,14.9,4,止盈+15%
2026-01-14,SELL,sh601318,中国平安,67.0,1700,113900.0,142.38,-9285.13,-7.55,7,排名跌出 TopN
2026-01-14,BUY,sh516510,智能汽车ETF,2.038,51200,104345.6,26.09,0.0,0.0,0,score=+0.84 rank=2
2026-01-16,BUY,sh600460,士兰微,30.67,2700,82809.0,20.7,0.0,0.0,0,score=+0.66 rank=3
2026-01-20,SELL,sh516510,智能汽车ETF,1.867,51200,95590.4,119.49,-8900.77,-8.53,4,止损-8%
2026-01-23,SELL,sh510500,中证500ETF,8.719,14500,126425.5,158.03,17925.39,16.55,20,止盈+15%
2026-01-23,BUY,sh510500,中证500ETF,8.719,12700,110731.3,27.68,0.0,0.0,0,score=+0.58 rank=1
2026-01-26,SELL,sh600460,士兰微,30.68,2700,82836.0,103.55,-97.25,-0.12,6,排名跌出 TopN
2026-01-27,BUY,sh600460,士兰微,32.02,3300,105666.0,26.42,0.0,0.0,0,score=+0.72 rank=1
2026-01-28,SELL,sh512480,国泰CES半导体芯片ETF,1.764,81100,143060.4,178.83,18767.55,15.12,17,止盈+15%
2026-01-28,BUY,sh512480,国泰CES半导体芯片ETF,1.764,64000,112896.0,28.22,0.0,0.0,0,score=+0.66 rank=3
2026-01-29,BUY,sh516510,智能汽车ETF,1.926,47200,90907.2,22.73,0.0,0.0,0,score=+0.58 rank=3
2026-02-02,SELL,sh512480,国泰CES半导体芯片ETF,1.618,64000,103552.0,129.44,-9501.66,-8.41,3,止损-8%
2026-02-02,SELL,sh600460,士兰微,30.69,3300,101277.0,126.6,-4542.01,-4.3,4,排名跌出 TopN
2026-02-03,SELL,sh515980,华夏中证5G通信ETF,0.964,137900,132935.6,166.17,8628.4,6.95,21,满期21日
2026-02-05,SELL,sh516510,智能汽车ETF,1.794,47200,84676.8,105.85,-6358.97,-6.99,5,排名跌出 TopN
2026-02-10,SELL,sh510500,中证500ETF,8.377,12700,106387.9,132.98,-4504.07,-4.07,12,排名跌出 TopN
2026-03-06,BUY,sz159865,光伏ETF,0.65,270600,175890.0,43.97,0.0,0.0,0,score=+0.60 rank=1
2026-03-23,SELL,sz159865,光伏ETF,0.594,270600,160736.4,200.92,-15398.49,-8.75,11,止损-8%
2026-04-16,BUY,sh515980,华夏中证5G通信ETF,0.975,177300,172867.5,43.22,0.0,0.0,0,score=+0.61 rank=1
2026-04-20,BUY,sh510500,中证500ETF,8.355,16600,138693.0,34.67,0.0,0.0,0,score=+0.58 rank=1
2026-04-22,BUY,sh512480,国泰CES半导体芯片ETF,1.677,67000,112359.0,28.09,0.0,0.0,0,score=+0.59 rank=2
2026-05-07,SELL,sh512480,国泰CES半导体芯片ETF,1.949,67000,130583.0,163.23,18032.68,16.05,8,止盈+15%
2026-05-07,BUY,sh512480,国泰CES半导体芯片ETF,1.949,59400,115770.6,28.94,0.0,0.0,0,score=+0.58 rank=3
2026-05-07,BUY,sh516510,智能汽车ETF,1.92,60300,115776.0,28.94,0.0,0.0,0,score=+0.53 rank=4
2026-05-11,BUY,sh600460,士兰微,30.47,2300,70081.0,17.52,0.0,0.0,0,score=+0.59 rank=3
2026-05-13,SELL,sh515980,华夏中证5G通信ETF,1.159,177300,205490.7,256.86,32323.12,18.69,16,止盈+15%
2026-05-13,BUY,sh515980,华夏中证5G通信ETF,1.159,83900,97240.1,24.31,0.0,0.0,0,score=+0.67 rank=2
2026-05-22,SELL,sh510500,中证500ETF,8.658,16600,143722.8,179.65,4815.47,3.47,21,满期21日
2026-05-25,SELL,sh512480,国泰CES半导体芯片ETF,2.348,59400,139471.2,174.34,23497.32,20.29,12,止盈+15%
2026-05-25,BUY,sh512480,国泰CES半导体芯片ETF,2.348,56700,133131.6,33.28,0.0,0.0,0,score=+0.65 rank=3
2026-05-26,SELL,sh516510,智能汽车ETF,1.84,60300,110952.0,138.69,-4991.63,-4.31,13,排名跌出 TopN
2026-05-27,SELL,sh600460,士兰微,35.58,2300,81834.0,102.29,11633.19,16.6,12,止盈+15%
2026-05-27,BUY,sh600460,士兰微,35.58,4000,142320.0,35.58,0.0,0.0,0,score=+0.76 rank=1
2026-05-29,SELL,sh512480,国泰CES半导体芯片ETF,2.16,56700,122472.0,153.09,-10845.97,-8.14,4,止损-8%
2026-05-29,BUY,sh512480,国泰CES半导体芯片ETF,2.16,65200,140832.0,35.21,0.0,0.0,0,score=+0.50 rank=2
2026-06-08,SELL,sh600460,士兰微,32.13,4000,128520.0,160.65,-13996.23,-9.83,8,止损-8%
2026-06-11,SELL,sh515980,华夏中证5G通信ETF,1.072,83900,89940.8,112.43,-7436.04,-7.65,21,满期21日
2026-06-15,BUY,sh600460,士兰微,35.37,4400,155628.0,38.91,0.0,0.0,0,score=+0.55 rank=1
2026-06-17,SELL,sh600460,士兰微,40.83,4400,179652.0,224.57,23760.53,15.26,2,止盈+15%
2026-06-17,BUY,sh600460,士兰微,40.83,3900,159237.0,39.81,0.0,0.0,0,score=+0.90 rank=1
2026-06-18,SELL,sh512480,国泰CES半导体芯片ETF,2.481,65200,161761.2,202.2,20691.79,14.69,14,回测结束强平
2026-06-18,SELL,sh600460,士兰微,41.83,3900,163137.0,203.92,3656.27,2.3,1,回测结束强平
